,Neg1rep1,VK1rep1,VK3rep1,VK5rep1,unenriched1,unenriched2,unenriched3
86769,0,0,6,0,12,13,13
187020,4,2,2,2,3,4,5
202956,1,12,11,19,14,15,12
209005,7,24,19,16,13,16,23
374028,0,0,0,0,16,16,16
566971,0,5,0,0,4,0,2
640706,0,6,5,7,4,7,5
642086,0,8,0,0,8,0,5
645785,16,44,32,23,32,20,23
651398,0,4,5,0,0,4,2
678725,14,18,15,16,14,20,17
733338,4,15,19,13,0,0,0
900503,4,24,19,17,22,15,17
996140,15,13,11,5,13,9,19
1026553,7,4,2,0,0,6,0
1053863,0,6,6,0,5,6,3
1385693,0,9,11,6,14,10,10
1488186,0,8,5,2,7,11,7
1586831,4,2,2,2,3,4,5
1654966,3,7,9,4,15,8,13
1800596,34,29,21,12,0,0,0
1808422,0,6,0,0,119,44,118
1809293,0,11,12,14,8,5,4
1813814,0,4,6,7,8,8,4
1815477,1,6,6,9,8,8,6
1818671,5,10,8,8,5,7,12
1837890,2,4,4,1,10,6,7
1849115,4,2,2,2,3,4,5
1958375,0,13,12,10,7,8,14
1963894,2,6,6,1,13,6,8
1967039,1,14,12,16,15,19,16
2008440,4,17,11,3,122,67,121
2011663,0,4,7,7,7,5,4
2011772,0,8,6,9,9,8,8
2022201,0,9,7,12,8,10,11
2057470,5,10,8,8,5,7,12
2105368,2,4,5,1,8,5,6
2106886,4,2,2,2,3,4,5
2114380,6,41,53,36,0,0,0
2120552,0,6,0,0,119,44,118
2159483,0,5,4,9,3,5,6
2160032,0,3,0,6,5,4,4
2163256,1,3,6,3,10,9,11
2271726,2,6,4,3,8,3,5
2287574,0,15,24,22,7,7,7
2320559,0,9,6,7,9,9,11
2342451,0,2,2,8,4,5,1
2357132,0,14,17,13,11,11,10
2399443,0,8,4,5,8,9,10
2409733,7,5,2,0,0,1,0
2410456,2,4,4,1,10,6,7
2429252,0,9,11,6,26,17,18
2433827,0,9,10,4,14,9,12
2433984,4,19,18,15,20,14,14
2478382,4,15,19,13,0,0,0
2481550,2,6,4,3,9,5,7
2550329,3,7,9,4,15,8,13
2569637,4,2,2,2,3,4,5
2594166,0,3,5,0,6,5,6
2596686,4,2,2,2,3,4,5
2599458,4,2,2,2,3,4,5
2609128,4,2,2,2,3,4,5
2611346,4,2,2,2,3,4,5
2647227,0,0,2,0,18,19,19
2651164,0,0,0,0,5,4,2
2717161,3,7,9,4,15,8,13
2749207,2,4,5,1,8,5,6
2752055,6,7,6,5,8,6,4
2775482,3,9,12,6,22,18,20
2786018,0,11,17,16,15,14,10
3448425,2,4,4,1,10,6,7
3475102,4,2,2,2,3,4,5
3520520,8,10,15,9,0,0,0
3543367,4,2,2,2,3,4,5
3545035,4,9,10,4,37,21,27
3557492,13,66,58,41,78,60,68
3577546,3,4,3,4,4,5,4
3585948,4,6,5,6,4,6,6
3593277,0,3,5,0,7,5,7
3595276,2,4,5,1,8,3,5
3595283,4,2,2,2,3,4,5
3607846,0,9,13,3,0,0,0
3642000,4,4,4,4,0,0,0
3642888,0,2,4,4,9,7,6
3650534,15,13,16,9,16,17,12
3675519,12,14,9,4,0,0,0
3688105,0,0,3,4,0,0,8
3691598,0,6,0,0,5,3,6
3691661,0,14,17,14,7,7,9
3691713,0,2,5,5,0,0,5
3692115,0,6,7,6,4,4,4
3695442,3,9,6,9,4,6,4
3704668,0,6,5,8,4,4,4
3708079,0,2,0,1,4,4,5
3709039,4,2,2,2,3,4,5
3710169,2,4,5,1,8,5,6
3713116,2,2,3,2,6,6,13
3722381,4,2,2,2,3,4,5
3723795,3,7,9,4,22,11,20
3726933,0,0,0,0,6,7,3
3727159,4,6,8,2,17,19,12
3727474,4,2,2,2,3,4,5
3727657,0,4,3,5,0,1,0
3730682,0,4,3,0,6,10,4
3740901,0,13,24,11,0,0,0
3758205,0,7,0,5,4,5,2
3762103,4,16,10,19,11,10,12
3763561,0,18,12,13,4,7,9
3764023,0,4,4,0,0,5,6
3768840,0,9,11,7,12,12,12
3774409,12,19,21,8,23,24,26
3775835,2,1,3,1,6,11,10
3775978,0,5,4,3,1,0,1
3776464,0,5,6,8,8,7,5
3776479,0,41,37,34,56,53,47
3776526,0,4,5,5,0,0,0
3776630,0,22,21,22,25,28,27
3776934,0,13,12,2,14,15,12
3789452,0,6,5,8,4,5,4
3789453,1,8,8,6,16,18,16
3806763,4,2,2,2,3,4,5
3902762,2,4,5,1,8,5,6
3966757,0,21,11,16,22,17,19
3966777,0,0,0,0,5,3,6
3967585,3,13,11,4,20,14,20
3972270,22,51,35,25,311,299,296
3991754,0,25,16,25,20,25,28
3992050,0,9,11,10,0,4,3
3992094,0,6,5,0,0,0,0
3996177,0,6,6,10,30,23,25
3996261,0,0,4,0,0,6,0
3996667,0,6,0,5,1,2,3
4009240,3,27,22,21,39,27,31
4012489,0,4,2,6,8,5,5
4012669,0,6,5,4,15,22,19
4013051,28,164,227,156,216,182,167
4013136,0,0,0,0,7,3,4
4013466,0,3,7,7,0,3,3
4013776,13,46,38,34,35,36,41
4013914,0,4,5,3,4,4,4
4014039,0,3,6,5,6,7,4
4039008,3,6,6,8,9,5,9
4052479,0,2,3,3,4,4,5
4077657,2,4,5,1,10,5,6
4079210,4,2,2,2,3,4,5
4079228,1,8,8,6,15,14,15
4081737,0,8,6,9,9,8,8
4095716,2,19,13,10,13,25,18
4096188,1,6,2,3,7,10,5
4096855,0,3,0,3,9,10,8
4097327,0,0,5,3,1,1,4
4098765,0,13,13,4,16,17,12
4098784,0,14,11,10,2,10,4
4100571,11,30,23,27,28,28,29
4116244,0,20,24,4,2,11,24
4132207,1,1,2,0,18,16,29
4137138,0,10,20,16,8,8,6
4172233,0,8,6,9,9,8,8
4172235,10,17,15,6,18,11,10
4182998,0,4,0,6,1,2,0
4191959,0,0,0,0,4,8,6
4205147,2,2,3,2,6,6,13
4220508,0,7,0,7,6,6,4
4224618,1,17,11,20,27,22,23
4228803,2,4,5,1,11,10,8
4237753,0,3,7,1,6,6,7
4239415,0,12,12,8,15,15,14
4239579,3,11,8,9,9,11,8
4246480,2,4,5,1,8,5,6
4258282,1,9,8,6,18,20,17
4338643,0,2,3,3,4,4,5
4343484,8,16,15,13,29,27,27
4344665,11,62,53,63,82,75,92
4423581,4,2,2,2,3,4,5
4424095,4,19,17,16,15,17,8
4427266,0,1,7,5,0,0,0
4449485,0,4,4,4,2,3,5
4493173,0,8,5,5,0,0,0
