"","VK1rep1","VK3rep1","VK5rep1","unenriched1","unenriched2","unenriched3"
"86769",0,6,0,12,13,13
"187020",0,0,0,3,4,5
"202956",11,10,18,14,15,12
"209005",17,12,9,13,16,23
"374028",0,0,0,16,16,16
"566971",5,0,0,4,0,2
"640706",6,5,7,4,7,5
"642086",8,0,0,8,0,5
"645785",28,16,7,32,20,23
"651398",4,5,0,0,4,2
"678725",4,1,2,14,20,17
"733338",11,15,9,0,0,0
"900503",20,15,13,22,15,17
"996140",0,0,0,13,9,19
"1026553",0,0,0,0,6,0
"1053863",6,6,0,5,6,3
"1385693",9,11,6,14,10,10
"1488186",8,5,2,7,11,7
"1586831",0,0,0,3,4,5
"1654966",4,6,1,15,8,13
"1800596",0,0,0,0,0,0
"1808422",6,0,0,119,44,118
"1809293",11,12,14,8,5,4
"1813814",4,6,7,8,8,4
"1815477",5,5,8,8,8,6
"1818671",5,3,3,5,7,12
"1837890",2,2,0,10,6,7
"1849115",0,0,0,3,4,5
"1958375",13,12,10,7,8,14
"1963894",4,4,0,13,6,8
"1967039",13,11,15,15,19,16
"2008440",13,7,0,122,67,121
"2011663",4,7,7,7,5,4
"2011772",8,6,9,9,8,8
"2022201",9,7,12,8,10,11
"2057470",5,3,3,5,7,12
"2105368",2,3,0,8,5,6
"2106886",0,0,0,3,4,5
"2114380",35,47,30,0,0,0
"2120552",6,0,0,119,44,118
"2159483",5,4,9,3,5,6
"2160032",3,0,6,5,4,4
"2163256",2,5,2,10,9,11
"2271726",4,2,1,8,3,5
"2287574",15,24,22,7,7,7
"2320559",9,6,7,9,9,11
"2342451",2,2,8,4,5,1
"2357132",14,17,13,11,11,10
"2399443",8,4,5,8,9,10
"2409733",0,0,0,0,1,0
"2410456",2,2,0,10,6,7
"2429252",9,11,6,26,17,18
"2433827",9,10,4,14,9,12
"2433984",15,14,11,20,14,14
"2478382",11,15,9,0,0,0
"2481550",4,2,1,9,5,7
"2550329",4,6,1,15,8,13
"2569637",0,0,0,3,4,5
"2594166",3,5,0,6,5,6
"2596686",0,0,0,3,4,5
