,count,organism_name,taxid,sample
815,1247,bacteroidaceae,815,Neg1rep1
541000,1212,ruminococcaceae,541000,Neg1rep1
9604,986,hominidae,9604,Neg1rep1
186806,409,eubacteriaceae,186806,Neg1rep1
186803,245,lachnospiraceae,186803,Neg1rep1
31979,110,clostridiaceae,31979,Neg1rep1
171550,82,rikenellaceae,171550,Neg1rep1
31977,70,veillonellaceae,31977,Neg1rep1
31953,54,bifidobacteriaceae,31953,Neg1rep1
84107,31,coriobacteriaceae,84107,Neg1rep1
543,23,enterobacteriaceae,543,Neg1rep1
135621,12,pseudomonadaceae,135621,Neg1rep1
1300,9,streptococcaceae,1300,Neg1rep1
33958,7,lactobacillaceae,33958,Neg1rep1
75682,6,oxalobacteraceae,75682,Neg1rep1
49546,5,flavobacteriaceae,49546,Neg1rep1
194924,3,desulfovibrionaceae,194924,Neg1rep1
186804,2,peptostreptococcaceae,186804,Neg1rep1
433,1,acetobacteraceae,433,Neg1rep1
407032,1,nitrospinaceae,407032,Neg1rep1
137,1,spirochaetaceae,137,Neg1rep1
541000,4677,ruminococcaceae,541000,VK3rep1
815,4158,bacteroidaceae,815,VK3rep1
186803,1921,lachnospiraceae,186803,VK3rep1
186806,1888,eubacteriaceae,186806,VK3rep1
9604,1772,hominidae,9604,VK3rep1
84107,456,coriobacteriaceae,84107,VK3rep1
31953,405,bifidobacteriaceae,31953,VK3rep1
31979,181,clostridiaceae,31979,VK3rep1
31977,133,veillonellaceae,31977,VK3rep1
128827,79,erysipelotrichaceae,128827,VK3rep1
543,71,enterobacteriaceae,543,VK3rep1
1300,61,streptococcaceae,1300,VK3rep1
171550,50,rikenellaceae,171550,VK3rep1
33958,34,lactobacillaceae,33958,VK3rep1
171552,24,prevotellaceae,171552,VK3rep1
194924,23,desulfovibrionaceae,194924,VK3rep1
4893,11,saccharomycetaceae,4893,VK3rep1
2049,8,actinomycetaceae,2049,VK3rep1
267894,8,psychromonadaceae,267894,VK3rep1
49546,8,flavobacteriaceae,49546,VK3rep1
186822,8,paenibacillaceae,186822,VK3rep1
712,8,pasteurellaceae,712,VK3rep1
186823,6,alicyclobacillaceae,186823,VK3rep1
186817,6,bacillaceae,186817,VK3rep1
675071,6,virgaviridae,675071,VK3rep1
1129771,5,leptotrichiaceae,1129771,VK3rep1
171551,5,porphyromonadaceae,171551,VK3rep1
1570339,4,peptoniphilaceae,1570339,VK3rep1
72275,4,alteromonadaceae,72275,VK3rep1
1328881,3,candidatus midichloriaceae,1328881,VK3rep1
31957,3,propionibacteriaceae,31957,VK3rep1
186807,3,peptococcaceae,186807,VK3rep1
188709,3,thermotogaceae,188709,VK3rep1
119045,2,methylobacteriaceae,119045,VK3rep1
267891,2,moritellaceae,267891,VK3rep1
267890,2,shewanellaceae,267890,VK3rep1
203492,2,fusobacteriaceae,203492,VK3rep1
563798,2,cyclobacteriaceae,563798,VK3rep1
589343,2,geminigeraceae,589343,VK3rep1
649777,2,synergistaceae,649777,VK3rep1
186820,2,listeriaceae,186820,VK3rep1
972,2,halanaerobiaceae,972,VK3rep1
1131492,2,aspergillaceae,1131492,VK3rep1
81850,2,leuconostocaceae,81850,VK3rep1
481,2,neisseriaceae,481,VK3rep1
85025,2,nocardiaceae,85025,VK3rep1
34064,1,francisellaceae,34064,VK3rep1
1653,1,corynebacteriaceae,1653,VK3rep1
558314,1,desulfurobacteriaceae,558314,VK3rep1
452340,1,gloeophyllaceae,452340,VK3rep1
407032,1,nitrospinaceae,407032,VK3rep1
213468,1,syntrophaceae,213468,VK3rep1
267893,1,idiomarinaceae,267893,VK3rep1
224464,1,kofleriaceae,224464,VK3rep1
89373,1,cytophagaceae,89373,VK3rep1
196117,1,methanocaldococcaceae,196117,VK3rep1
45401,1,hyphomicrobiaceae,45401,VK3rep1
186827,1,aerococcaceae,186827,VK3rep1
72293,1,helicobacteraceae,72293,VK3rep1
76892,1,caulobacteraceae,76892,VK3rep1
80864,1,comamonadaceae,80864,VK3rep1
186804,1,peptostreptococcaceae,186804,VK3rep1
81852,1,enterococcaceae,81852,VK3rep1
433,1,acetobacteraceae,433,VK3rep1
9604,6430,hominidae,9604,unenriched1
541000,6304,ruminococcaceae,541000,unenriched1
815,4517,bacteroidaceae,815,unenriched1
