,count,organism_name
541000,4677,ruminococcaceae
815,4158,bacteroidaceae
186803,1921,lachnospiraceae
186806,1888,eubacteriaceae
9604,1772,hominidae
84107,456,coriobacteriaceae
31953,405,bifidobacteriaceae
31979,181,clostridiaceae
31977,133,veillonellaceae
128827,79,erysipelotrichaceae
543,71,enterobacteriaceae
1300,61,streptococcaceae
171550,50,rikenellaceae
33958,34,lactobacillaceae
171552,24,prevotellaceae
194924,23,desulfovibrionaceae
4893,11,saccharomycetaceae
2049,8,actinomycetaceae
267894,8,psychromonadaceae
49546,8,flavobacteriaceae
186822,8,paenibacillaceae
712,8,pasteurellaceae
186823,6,alicyclobacillaceae
186817,6,bacillaceae
675071,6,virgaviridae
1129771,5,leptotrichiaceae
171551,5,porphyromonadaceae
1570339,4,peptoniphilaceae
72275,4,alteromonadaceae
1328881,3,candidatus midichloriaceae
31957,3,propionibacteriaceae
186807,3,peptococcaceae
188709,3,thermotogaceae
119045,2,methylobacteriaceae
267891,2,moritellaceae
267890,2,shewanellaceae
203492,2,fusobacteriaceae
563798,2,cyclobacteriaceae
589343,2,geminigeraceae
649777,2,synergistaceae
186820,2,listeriaceae
972,2,halanaerobiaceae
1131492,2,aspergillaceae
81850,2,leuconostocaceae
481,2,neisseriaceae
85025,2,nocardiaceae
34064,1,francisellaceae
1653,1,corynebacteriaceae
558314,1,desulfurobacteriaceae
452340,1,gloeophyllaceae
407032,1,nitrospinaceae
213468,1,syntrophaceae
267893,1,idiomarinaceae
224464,1,kofleriaceae
89373,1,cytophagaceae
196117,1,methanocaldococcaceae
45401,1,hyphomicrobiaceae
186827,1,aerococcaceae
72293,1,helicobacteraceae
76892,1,caulobacteraceae
80864,1,comamonadaceae
186804,1,peptostreptococcaceae
81852,1,enterococcaceae
433,1,acetobacteraceae
