,count,organism_name
9604,6645,hominidae
541000,6084,ruminococcaceae
815,4255,bacteroidaceae
186806,2562,eubacteriaceae
186803,2127,lachnospiraceae
31953,600,bifidobacteriaceae
84107,513,coriobacteriaceae
31979,427,clostridiaceae
31977,207,veillonellaceae
171550,110,rikenellaceae
1300,56,streptococcaceae
128827,44,erysipelotrichaceae
33958,32,lactobacillaceae
171552,32,prevotellaceae
4893,19,saccharomycetaceae
186804,17,peptostreptococcaceae
194924,15,desulfovibrionaceae
171551,15,porphyromonadaceae
675071,13,virgaviridae
1570339,8,peptoniphilaceae
186817,7,bacillaceae
81852,7,enterococcaceae
203492,7,fusobacteriaceae
320583,6,conexibacteraceae
186822,5,paenibacillaceae
766764,5,debaryomycetaceae
186823,5,alicyclobacillaceae
89373,5,cytophagaceae
135621,5,pseudomonadaceae
31957,4,propionibacteriaceae
2062,4,streptomycetaceae
1653,4,corynebacteriaceae
135616,4,piscirickettsiaceae
216572,4,oscillospiraceae
468,3,moraxellaceae
712,3,pasteurellaceae
83676,3,nocardiopsaceae
267888,3,pseudoalteromonadaceae
69277,3,phyllobacteriaceae
49546,3,flavobacteriaceae
543,3,enterobacteriaceae
32033,3,xanthomonadaceae
5654,3,trypanosomatidae
641876,2,elusimicrobiaceae
340080,2,parameciidae
558415,2,marinilabiliaceae
189770,2,chrysiogenaceae
191394,2,deferribacteraceae
563835,2,chitinophagaceae
200667,2,flammeovirgaceae
213119,2,desulfobacteraceae
543372,2,thermoanaerobacterales family iv. incertae sedis
539000,2,clostridiales family xvii. incertae sedis
267894,2,psychromonadaceae
137,2,spirochaetaceae
119045,2,methylobacteriaceae
83763,2,succinivibrionaceae
2236,2,halobacteriaceae
2049,2,actinomycetaceae
76892,2,caulobacteraceae
942,2,anaplasmataceae
5148,2,sordariaceae
82115,2,rhizobiaceae
90964,2,staphylococcaceae
92713,2,parachlamydiaceae
41295,2,rhodospirillaceae
506,1,alcaligenaceae
481,1,neisseriaceae
909930,1,acidaminococcaceae
1198451,1,methanoregulaceae
2012,1,thermomonosporaceae
2070,1,pseudonocardiaceae
543314,1,clostridiales family xiii. incertae sedis
72275,1,alteromonadaceae
28056,1,micromonosporaceae
41297,1,sphingomonadaceae
186820,1,listeriaceae
74712,1,frankiaceae
213422,1,geobacteraceae
213421,1,desulfuromonadaceae
204431,1,fibrobacteraceae
196137,1,methanospirillaceae
84566,1,sphingobacteriaceae
84994,1,acidimicrobiaceae
85025,1,nocardiaceae
92712,1,simkaniaceae
