,count,organism_name,taxid,sample
1239,2894,firmicutes,1239,Neg1rep1
976,1613,bacteroidetes,976,Neg1rep1
7711,1060,chordata,7711,Neg1rep1
1224,432,proteobacteria,1224,Neg1rep1
201174,109,actinobacteria,201174,Neg1rep1
1117,1,cyanobacteria,1117,Neg1rep1
203691,1,spirochaetes,203691,Neg1rep1
1293497,1,nitrospinae,1293497,Neg1rep1
1239,12744,firmicutes,1239,VK3rep1
976,5716,bacteroidetes,976,VK3rep1
7711,2021,chordata,7711,VK3rep1
1224,1168,proteobacteria,1224,VK3rep1
201174,1073,actinobacteria,201174,VK3rep1
4890,19,ascomycota,4890,VK3rep1
32066,7,fusobacteria,32066,VK3rep1
200918,3,thermotogae,200918,VK3rep1
1117,2,cyanobacteria,1117,VK3rep1
508458,2,synergistetes,508458,VK3rep1
5204,1,basidiomycota,5204,VK3rep1
5794,1,apicomplexa,5794,VK3rep1
28890,1,euryarchaeota,28890,VK3rep1
200783,1,aquificae,200783,VK3rep1
1293497,1,nitrospinae,1293497,VK3rep1
1239,17264,firmicutes,1239,unenriched1
7711,7383,chordata,7711,unenriched1
976,5894,bacteroidetes,976,unenriched1
201174,1521,actinobacteria,201174,unenriched1
1224,93,proteobacteria,1224,unenriched1
4890,45,ascomycota,4890,unenriched1
32066,9,fusobacteria,32066,unenriched1
203691,5,spirochaetes,203691,unenriched1
203682,5,planctomycetes,203682,unenriched1
544448,5,tenericutes,544448,unenriched1
28890,5,euryarchaeota,28890,unenriched1
5204,5,basidiomycota,5204,unenriched1
57723,3,acidobacteria,57723,unenriched1
1117,3,cyanobacteria,1117,unenriched1
200930,3,deferribacteres,200930,unenriched1
200783,2,aquificae,200783,unenriched1
74152,2,elusimicrobia,74152,unenriched1
200795,1,chloroflexi,200795,unenriched1
200918,1,thermotogae,200918,unenriched1
1297,1,deinococcus-thermus,1297,unenriched1
204428,1,chlamydiae,204428,unenriched1
508458,1,synergistetes,508458,unenriched1
1239,16676,firmicutes,1239,unenriched3
7711,7419,chordata,7711,unenriched3
976,5612,bacteroidetes,976,unenriched3
201174,1412,actinobacteria,201174,unenriched3
1224,85,proteobacteria,1224,unenriched3
4890,41,ascomycota,4890,unenriched3
203691,10,spirochaetes,203691,unenriched3
32066,9,fusobacteria,32066,unenriched3
57723,5,acidobacteria,57723,unenriched3
5204,5,basidiomycota,5204,unenriched3
5794,4,apicomplexa,5794,unenriched3
1117,4,cyanobacteria,1117,unenriched3
65842,4,fibrobacteres,65842,unenriched3
200795,3,chloroflexi,200795,unenriched3
28889,2,crenarchaeota,28889,unenriched3
203682,2,planctomycetes,203682,unenriched3
200783,1,aquificae,200783,unenriched3
200918,1,thermotogae,200918,unenriched3
200930,1,deferribacteres,200930,unenriched3
1297,1,deinococcus-thermus,1297,unenriched3
204428,1,chlamydiae,204428,unenriched3
544448,1,tenericutes,544448,unenriched3
1239,16818,firmicutes,1239,unenriched2
7711,7747,chordata,7711,unenriched2
976,5580,bacteroidetes,976,unenriched2
201174,1480,actinobacteria,201174,unenriched2
1224,71,proteobacteria,1224,unenriched2
4890,37,ascomycota,4890,unenriched2
32066,7,fusobacteria,32066,unenriched2
28890,4,euryarchaeota,28890,unenriched2
74152,3,elusimicrobia,74152,unenriched2
204428,3,chlamydiae,204428,unenriched2
1117,2,cyanobacteria,1117,unenriched2
200930,2,deferribacteres,200930,unenriched2
200938,2,chrysiogenetes,200938,unenriched2
203691,2,spirochaetes,203691,unenriched2
65842,1,fibrobacteres,65842,unenriched2
142182,1,gemmatimonadetes,142182,unenriched2
1239,11021,firmicutes,1239,VK5rep1
976,4900,bacteroidetes,976,VK5rep1
7711,2135,chordata,7711,VK5rep1
1224,788,proteobacteria,1224,VK5rep1
201174,681,actinobacteria,201174,VK5rep1
4890,9,ascomycota,4890,VK5rep1
74201,4,verrucomicrobia,74201,VK5rep1
5794,3,apicomplexa,5794,VK5rep1
508458,3,synergistetes,508458,VK5rep1
200918,2,thermotogae,200918,VK5rep1
1090,1,chlorobi,1090,VK5rep1
28890,1,euryarchaeota,28890,VK5rep1
1239,13487,firmicutes,1239,VK1rep1
976,6512,bacteroidetes,976,VK1rep1
7711,2142,chordata,7711,VK1rep1
201174,1006,actinobacteria,201174,VK1rep1
1224,977,proteobacteria,1224,VK1rep1
4890,32,ascomycota,4890,VK1rep1
65842,9,fibrobacteres,65842,VK1rep1
74201,8,verrucomicrobia,74201,VK1rep1
200918,4,thermotogae,200918,VK1rep1
32066,4,fusobacteria,32066,VK1rep1
1117,4,cyanobacteria,1117,VK1rep1
28890,4,euryarchaeota,28890,VK1rep1
544448,3,tenericutes,544448,VK1rep1
200783,1,aquificae,200783,VK1rep1
2836,1,bacillariophyta,2836,VK1rep1
203691,1,spirochaetes,203691,VK1rep1
204428,1,chlamydiae,204428,VK1rep1
