,count,organism_name
1239,16676,firmicutes
7711,7419,chordata
976,5612,bacteroidetes
201174,1412,actinobacteria
1224,85,proteobacteria
4890,41,ascomycota
203691,10,spirochaetes
32066,9,fusobacteria
57723,5,acidobacteria
5204,5,basidiomycota
5794,4,apicomplexa
1117,4,cyanobacteria
65842,4,fibrobacteres
200795,3,chloroflexi
28889,2,crenarchaeota
203682,2,planctomycetes
200783,1,aquificae
200918,1,thermotogae
200930,1,deferribacteres
1297,1,deinococcus-thermus
204428,1,chlamydiae
544448,1,tenericutes
