"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gn","gn1","human_mouse","lca","name"
"61499775",415.947440559761,-3.73239151290195,0.213299055643038,-17.4983968009132,1.4735887401748e-68,2.14731351218272e-64,"Amy1,AMY2B,Amy2,AMY2A,AMY1A","","True",314146,"sp|P04745|AMY1_HUMAN Alpha-amylase 1 OS=Homo sapiens GN=AMY1A PE=1 SV=2"
"61499508",198.463089527258,-4.65837831851923,0.274592164650103,-16.964716835439,1.49820136782371e-64,1.09158951659636e-60,"IGHA1,IGHA2","","True",9606,"sp|P01876|IGHA1_HUMAN Ig alpha-1 chain C region OS=Homo sapiens GN=IGHA1 PE=1 SV=2"
"61513209",151.566983951404,-3.536080645108,0.27493295931612,-12.8616105319049,7.4018210961718e-38,3.59531123378051e-34,"AMY1B,AMY2A","","True",9606,"tr|Q5T085|Q5T085_HUMAN Alpha-amylase 1 (Fragment) OS=Homo sapiens GN=AMY1B PE=3 SV=1"
"61501749",106.718541670731,-3.58396494362634,0.331004149273545,-10.8275529218956,2.54875703067336e-27,9.28512186274303e-24,"CTRB1,CTRB2","","True",9606,"sp|P17538|CTRB1_HUMAN Chymotrypsinogen B OS=Homo sapiens GN=CTRB1 PE=2 SV=1"
"67728405",108.880804787031,-5.03605542104702,0.477674103584606,-10.5428688372574,5.4801196531362e-26,1.59712607171001e-22,"","","False",NA,"763840445-stool1_revised_scaffold30329_2_gene19551 strand:+  start:2738 stop:3178 length:441 start_codon:yes stop_codon:yes gene_type:complete [Complete] codon-table.11"
"61528110",457.422562480302,-12.1019952324909,1.18894400683805,-10.1787764292414,2.46643050855764e-24,5.99013756178366e-21,"CTRC","CTRC","True",9606,"sp|Q99895|CTRC_HUMAN Chymotrypsin-C OS=Homo sapiens GN=CTRC PE=1 SV=2"
"67870191",92.8149371574736,-3.73584379364712,0.373059225013751,-10.0140769699755,1.32190049244032e-23,2.75181913940577e-20,"","","False",NA,"MH0160_GL0113773  [gene]  locus=scaffold16000_2:42:449:- [Complete] codon-table.11"
"23266935",121.884764961432,-1.84639365011834,0.191002723721258,-9.66684460904806,4.17038130818799e-22,7.59634955286442e-19,"BM590_A1254","BM590_A1254","False",2,"gi|563818928|ref|WP_023798123.1| elongation factor Tu [Mesorhizobium sp. L48C026A00]"
"21303159",285.645835684018,-1.07396749524367,0.119510279784492,-8.98640265239371,2.55454777140768e-19,4.1360966805503e-16,"BN565_01649","BN565_01649","False",2,"gi|547816170|ref|WP_022224982.1| elongation factor Tu [Clostridium sp. CAG:253]"
"61449960",89.9728018372164,-2.74242391697581,0.307256118523965,-8.92553069455607,4.43567356367785e-19,6.46366351699136e-16,"IGLC6,IGLC1,IGLC7,IGLC2,IGLC3","","True",9606,"sp|A0M8Q6|LAC7_HUMAN Ig lambda-7 chain C region OS=Homo sapiens GN=IGLC7 PE=1 SV=2"
"28150928",221.861195055905,-1.191373886885,0.134761518047462,-8.84060898204933,9.51982778095289e-19,1.26111754930951e-15,"groEL,groL,BN729_00686","","False",2,"gi|491810789|ref|WP_005612818.1| molecular chaperone GroEL [Ruminococcus lactaris]"
"61501313",103.266904818745,-7.50745032604951,0.854278149380172,-8.78806315190971,1.52160434245768e-18,1.8477348731911e-15,"CPB1,Cpb1","","True",314146,"sp|P15086|CBPB1_HUMAN Carboxypeptidase B OS=Homo sapiens GN=CPB1 PE=1 SV=4"
