,gn,gn1,human_mouse,lca,name
86769,CP,CP,False,12234,sp|Q9Q1T6|CAPSD_TOMK1 Capsid protein OS=Tomato mosaic virus (strain Kazakh K1) GN=CP PE=1 SV=3
187020,,,False,10663,gi|37651489|ref|NP_932363.1| hypothetical protein ST44RRORF008c [Aeromonas phage 44RR2.8t]
202956,,,False,716546,gi|115398299|ref|XP_001214741.1| NADP-specific glutamate dehydrogenase [Aspergillus terreus NIH2624]
209005,,,False,2759,gi|470321721|ref|XP_004349093.1| histone H4 [Capsaspora owczarzaki ATCC 30864]
374028,,,False,4893,gi|254585887|ref|XP_002498511.1| ZYRO0G12012p [Zygosaccharomyces rouxii]
566971,,,False,4892,gi|210075987|ref|XP_505195.2| YALI0F09185p [Yarrowia lipolytica]
640706,,,False,559292,gi|6324486|ref|NP_014555.1| alcohol dehydrogenase ADH1 [Saccharomyces cerevisiae S288c]
642086,,,False,4892,gi|254581302|ref|XP_002496636.1| ZYRO0D04686p [Zygosaccharomyces rouxii]
645785,,,False,294747,"gi|255730295|ref|XP_002550072.1| elongation factor Tu, mitochondrial precursor [Candida tropicalis MYA-3404]"
651398,,,False,559292,gi|6323073|ref|NP_013145.1| indolepyruvate decarboxylase 1 [Saccharomyces cerevisiae S288c]
678725,,,False,,SRS050422.210940-T1-C
733338,,,False,28901,"gi|487585773|ref|WP_001724780.1| glyceraldehyde-3-phosphate dehydrogenase A, partial [Salmonella enterica]"
900503,"Actg1,Actc1,ACTA1,Acta1,Actg2,Acta2,ACTB,ACTG1,Actb,ACTC1,ACTA2,ACTG2",,False,131567,gi|119467750|ref|XP_001257681.1| actin [Neosartorya fischeri NRRL 181]
996140,,,False,4893,gi|45184967|ref|NP_982685.1| AAR143Wp [Ashbya gossypii ATCC 10895]
1026553,,,False,28556,gi|627821415|ref|XP_007683547.1| hypothetical protein COCMIDRAFT_83420 [Bipolaris oryzae ATCC 44560]
1053863,,,False,4893,gi|50293403|ref|XP_449113.1| hypothetical protein [Candida glabrata CBS 138]
1385693,,,False,451864,gi|628834369|ref|XP_007767488.1| actin actin-like protein [Coniophora puteana RWD-64-598 SS2]
1488186,"LOCK908_1479,LRH_01782,LOCK900_1393,LBCZ_1256,pflB",,False,33958,tr|S6C7U6|S6C7U6_LACCA Formate acetyltransferase OS=Lactobacillus casei subsp. casei ATCC 393 GN=LBCZ_1256 PE=3 SV=1
1586831,"glyA1,glyA",,False,2157,gi|495596057|ref|WP_008320636.1| serine hydroxymethyltransferase [Haloferax mucosum]
1654966,,,False,1050716,gi|516976855|ref|WP_018194169.1| MULTISPECIES: hypothetical protein [candidate division YNPFFA]
1800596,"O3O_17265,APECO78_14910,ETEC_2349,O3K_08370,ECSE_2483,O3M_08320,ECL_03519,A3UG_15830,UM146_05725,CDCO157_2868,ECO55CA74_13635,ompC",,False,543,gi|541862265|ref|YP_008520265.1| hypothetical protein pS1400_89_0016 [Salmonella enterica subsp. enterica serovar Enteritidis]
1808422,,,False,2763,gi|545703648|ref|XP_005704149.1| elongation factor EF-Tu [Galdieria sulphuraria]
1809293,atpD,atpD,False,131567,gi|545705422|ref|XP_005705031.1| [pt] F-type H+-transporting ATPase subunit beta [Galdieria sulphuraria]
1813814,,,False,,T2D-15A_GL0056889  [gene]  locus=scaffold98812_5:2:802:+ [Lack both ends] codon-table.11
1815477,,,False,280463,gi|551536190|ref|XP_005756822.1| NADP-specific glutamate dehydrogenase [Emiliania huxleyi CCMP1516]
1818671,,,False,280463,gi|551574015|ref|XP_005772776.1| hypothetical protein EMIHUDRAFT_78418 [Emiliania huxleyi CCMP1516]
1837890,"PP1Y_AT16019,PP1Y_AT31098",,False,702113,gi|503598772|ref|WP_013832848.1| pyruvate phosphate dikinase [Novosphingobium sp. PP1Y]
1849115,glyA,glyA,False,266779,gi|499897987|ref|WP_011578721.1| serine hydroxymethyltransferase [Chelativorans sp. BNC1]
